"From (Date)","To (Date)","Town","Super (PMS)","Diesel (AGO)","Kerosene (IK)"
"15/04/2025","14/05/2025","Kachibora","175.09","165.67","149.84"
"15/04/2025","14/05/2025","Kwanza","175.86","166.44","150.6"
"15/04/2025","14/05/2025","Kaplamai","175.12","165.7","149.87"
"15/04/2025","14/05/2025","Eldama Ravine","175.56","166.14","150.31"
"15/04/2025","14/05/2025","Tenges","175.72","166.3","150.47"
"15/04/2025","14/05/2025","Barwessa","175.84","166.42","150.59"
"15/04/2025","14/05/2025","Kipsaraman","176.82","167.39","151.57"
"15/04/2025","14/05/2025","Loruk","176.68","167.25","151.43"
"15/04/2025","14/05/2025","Kabartonjo","175.56","166.14","150.31"
"15/04/2025","14/05/2025","Tindiret","175.63","166.21","150.38"
"15/04/2025","14/05/2025","O'lessos","174.74","165.32","149.49"
"15/04/2025","14/05/2025","Kobujoi","175.17","165.75","149.93"
"15/04/2025","14/05/2025","Serem","175.26","165.84","150.01"
"15/04/2025","14/05/2025","Kabiyet","174.67","165.25","149.42"
"15/04/2025","14/05/2025","Cheptulu","175.14","165.71","149.88"
"15/04/2025","14/05/2025","Songor","175.72","166.3","150.47"
"15/04/2025","14/05/2025","Kapcherop","175.33","165.9","150.08"
"15/04/2025","14/05/2025","Sambalat","176.06","166.65","150.81"
"15/04/2025","14/05/2025","Arror","175.69","166.26","150.44"
"15/04/2025","14/05/2025","Tot","175.91","166.49","150.66"
"15/04/2025","14/05/2025","Kaptarakwa","174.88","165.46","149.63"
"15/04/2025","14/05/2025","Kapese","178.05","168.63","152.8"
"15/04/2025","14/05/2025","Kalemngorok","177.4","167.97","152.15"
"15/04/2025","14/05/2025","Marich","176.3","166.88","151.06"
"15/04/2025","14/05/2025","Alale","176.83","167.4","151.58"
"15/04/2025","14/05/2025","Kunyao","176.47","167.04","151.22"
"15/04/2025","14/05/2025","Asilong","176.03","166.6","150.78"
"15/04/2025","14/05/2025","Orolwo","176.06","166.65","150.81"
"15/04/2025","14/05/2025","Sebit","176.01","166.59","150.76"
"15/04/2025","14/05/2025","Morpus","175.91","166.49","150.66"
"15/04/2025","14/05/2025","Chepkorniswo","175.79","166.37","150.53"
"15/04/2025","14/05/2025","Kaibichbich","175.73","166.31","150.49"
"15/04/2025","14/05/2025","Keringet","175.44","166.02","150.19"
"15/04/2025","14/05/2025","Kisumu","174.67","165.24","149.42"
"15/04/2025","14/05/2025","Sondu","174.78","165.36","149.53"
"15/04/2025","14/05/2025","Oyugis","175.3","165.87","150.05"
"15/04/2025","14/05/2025","Kakamega","174.72","165.3","149.48"
"15/04/2025","14/05/2025","Mumias","175.02","165.59","149.77"
"15/04/2025","14/05/2025","Bondo","174.89","165.48","149.64"
"15/04/2025","14/05/2025","Siaya","175.03","165.6","149.78"
"15/04/2025","14/05/2025","Kericho","175.22","165.79","149.97"
"15/04/2025","14/05/2025","Nyamira","175.29","165.86","150.04"
"15/04/2025","14/05/2025","Kisii","175.61","166.19","150.37"
"15/04/2025","14/05/2025","Sotik","175.44","166.01","150.19"
"15/04/2025","14/05/2025","Keroka","175.63","166.21","150.38"
"15/04/2025","14/05/2025","Busia","175.6","166.18","150.35"
"15/04/2025","14/05/2025","Homabay","175.54","166.12","150.3"
"15/04/2025","14/05/2025","Migori","176.46","167.04","151.22"
"15/04/2025","14/05/2025","Isebania","176.77","167.34","151.52"
"15/04/2025","14/05/2025","Bomet","175.87","166.44","150.62"
"15/04/2025","14/05/2025","Muhoroni","174.92","165.49","149.66"
"15/04/2025","14/05/2025","Mbita","175.53","166.11","150.28"
"15/04/2025","14/05/2025","Mbale","174.67","165.24","149.42"
"15/04/2025","14/05/2025","Etago","176.23","166.8","150.98"
"15/04/2025","14/05/2025","Magenche","176.34","166.91","151.09"
"15/04/2025","14/05/2025","Kilgoris","176.16","166.74","150.91"
"15/04/2025","14/05/2025","Malava","175.06","165.64","149.81"
"15/04/2025","14/05/2025","Lugari","175.47","166.06","150.23"
"15/04/2025","14/05/2025","Rodi Kopany","175.61","166.19","150.37"
"15/04/2025","14/05/2025","Ndhiwa","175.91","166.48","150.66"
"15/04/2025","14/05/2025","Rangwe","175.6","166.18","150.35"
"15/04/2025","14/05/2025","Sindo","175.61","166.19","150.37"
"15/04/2025","14/05/2025","Awasi","174.63","165.21","149.39"
"15/04/2025","14/05/2025","Ahero","174.67","165.24","149.42"
"15/04/2025","14/05/2025","Ugunja","175.12","165.71","149.88"
"15/04/2025","14/05/2025","Asembo","174.75","165.34","149.5"
"15/04/2025","14/05/2025","Usenge","175.26","165.85","150.02"
"15/04/2025","14/05/2025","Harambee","174.72","165.29","149.47"
"15/04/2025","14/05/2025","Muhuru Bay","176.62","167.19","151.37"
"15/04/2025","14/05/2025","Kehancha","176.86","167.45","151.61"
"15/04/2025","14/05/2025","Ntimaru","177.2","167.77","151.95"
"15/04/2025","14/05/2025","Rongo","175.88","166.46","150.63"
"15/04/2025","14/05/2025","Kaspokwony","175.84","166.42","150.59"
"15/04/2025","14/05/2025","Chwele","175.78","166.36","150.53"
"15/04/2025","14/05/2025","Kimilili","175.7","166.28","150.45"
"15/04/2025","14/05/2025","Nambale","175.6","166.18","150.35"
"15/04/2025","14/05/2025","SioPort","175.59","166.16","150.34"
"15/04/2025","14/05/2025","Port Bunyala","175.65","166.22","150.4"
"15/04/2025","14/05/2025","Funyula","175.45","166.02","150.2"
"15/04/2025","14/05/2025","Ogembo","175.78","166.36","150.53"
"15/04/2025","14/05/2025","Nyangusu","176.06","166.64","150.81"
"15/04/2025","14/05/2025","Sengera","175.98","166.55","150.73"
"15/04/2025","14/05/2025","Keumbu","175.68","166.26","150.44"
"15/04/2025","14/05/2025","Marani","175.37","165.94","150.12"
"15/04/2025","14/05/2025","Kerina","175.75","166.33","150.51"
"15/04/2025","14/05/2025","Ikonge","175.06","165.64","149.81"
"15/04/2025","14/05/2025","Nyansiongo","175.49","166.07","150.24"
"15/03/2025","14/04/2025","Chuka","178.33","168.81","153.14"
"15/03/2025","14/04/2025","Kitui","178.22","168.71","153.03"
"15/03/2025","14/04/2025","Mwingi","178.63","169.13","153.45"
"15/03/2025","14/04/2025","Nanyuki","178.65","169.14","153.46"
"15/03/2025","14/04/2025","Nkubu","179.68","170.18","154.5"
"15/03/2025","14/04/2025","Mtito Andei","179.19","169.68","154"
"15/03/2025","14/04/2025","Meru","179.89","170.39","154.71"
"15/03/2025","14/04/2025","Isiolo","179.74","170.24","154.56"
"15/03/2025","14/04/2025","Maua","180.38","170.88","155.2"
"15/03/2025","14/04/2025","Garissa","181.05","171.54","155.87"
"15/03/2025","14/04/2025","Marsabit","185.01","175.49","159.82"
"15/03/2025","14/04/2025","Liboi","184.02","174.51","158.84"
"15/03/2025","14/04/2025","Moyale","186.7","177.2","161.52"
"15/03/2025","14/04/2025","Sololo","185.69","176.18","160.5"
"15/03/2025","14/04/2025","Habaswein","183.94","174.43","158.76"
"15/03/2025","14/04/2025","Dadaab","182.54","173.02","157.35"
"15/03/2025","14/04/2025","Tarbaj","186.35","176.85","161.17"
"15/03/2025","14/04/2025","Elwak","188.08","178.57","162.89"
"15/03/2025","14/04/2025","Wajir","186.53","177.01","161.33"
"15/03/2025","14/04/2025","Modogashe","184.09","174.58","158.91"
"15/03/2025","14/04/2025","Mandera","190.58","181.07","165.39"
"15/03/2025","14/04/2025","Matuu","177.54","168.02","152.35"
"15/03/2025","14/04/2025","Merti","182.32","172.8","157.12"
"15/03/2025","14/04/2025","Oldonyiro","179.1","169.59","153.92"
"15/03/2025","14/04/2025","Eldas","188.43","178.92","163.24"
"15/03/2025","14/04/2025","Bute","185.24","175.74","160.06"
"15/03/2025","14/04/2025","Hadado","183.73","174.22","158.55"
"15/03/2025","14/04/2025","Mai Mahiu","176.7","167.19","151.52"
"15/03/2025","14/04/2025","Doldo","179.46","169.96","154.28"
"15/03/2025","14/04/2025","Lamuria","178.52","169.01","153.34"
"15/03/2025","14/04/2025","Sipili","179.45","169.94","154.27"
"15/03/2025","14/04/2025","Marimanti","179.05","169.54","153.86"
"15/03/2025","14/04/2025","Mutuobare","178.34","168.83","153.15"
"15/03/2025","14/04/2025","North Horr","186.04","176.53","160.85"
"15/03/2025","14/04/2025","Maikona","184.56","175.04","159.36"
"15/03/2025","14/04/2025","Kalacha","185.14","175.62","159.95"
"15/03/2025","14/04/2025","Loyangalani","185.21","175.69","160.02"
"15/03/2025","14/04/2025","Turbi","185","175.48","159.81"
"15/03/2025","14/04/2025","Laisamis","181.99","172.49","156.81"
"15/03/2025","14/04/2025","Merille","181.68","172.16","156.48"
"15/03/2025","14/04/2025","Korr","183.01","173.5","157.82"
"15/03/2025","14/04/2025","Nakuru","175.8","166.63","151.01"
"15/03/2025","14/04/2025","Gilgil","175.76","166.59","150.96"
"15/03/2025","14/04/2025","Mogotio","175.75","166.57","150.95"
"15/03/2025","14/04/2025","Molo","175.84","166.67","151.04"
"15/03/2025","14/04/2025","Olenguruone","176.6","167.42","151.8"
"15/03/2025","14/04/2025","Londiani","176.08","166.91","151.29"
"15/03/2025","14/04/2025","Nyahururu","176.07","166.9","151.26"
"15/03/2025","14/04/2025","Archers Post","179.28","170.1","154.48"
"15/03/2025","14/04/2025","Lodosoit","180.46","171.28","155.66"
"15/03/2025","14/04/2025","Naivasha","176.15","166.98","151.36"
"15/03/2025","14/04/2025","Marigat","176.59","167.41","151.79"
"15/03/2025","14/04/2025","Kabarnet","177.11","167.94","152.31"
"15/03/2025","14/04/2025","Maralal","178.28","169.1","153.48"
"15/03/2025","14/04/2025","Wamba","179.17","170.01","154.38"
"15/03/2025","14/04/2025","Rumuruti","176.66","167.48","151.86"
"15/03/2025","14/04/2025","Eldoret","176.62","167.45","151.82"
"15/03/2025","14/04/2025","Kiplombe","176.62","167.45","151.82"
"15/03/2025","14/04/2025","Iten","176.62","167.45","151.82"
"15/03/2025","14/04/2025","Naiberi","176.62","167.45","151.82"
"15/03/2025","14/04/2025","Kesses","176.62","167.45","151.82"
"15/03/2025","14/04/2025","Kapsabet","176.63","167.47","151.84"
"15/03/2025","14/04/2025","Webuye","177.09","167.91","152.28"
"15/03/2025","14/04/2025","Kitale","177.02","167.84","152.22"
"15/03/2025","14/04/2025","Kapenguria","177.69","168.52","152.9"
"15/03/2025","14/04/2025","Bungoma","177.45","168.27","152.64"
"15/03/2025","14/04/2025","Moiben","176.63","167.47","151.84"
"15/03/2025","14/04/2025","Matunda","176.61","167.44","151.81"
"15/03/2025","14/04/2025","Burnt Forest","176.56","167.4","151.77"
"15/03/2025","14/04/2025","Tambach","176.67","167.49","151.87"
"15/03/2025","14/04/2025","Kapsowar","177.17","167.99","152.37"
"15/03/2025","14/04/2025","Chebara","177.04","167.87","152.24"
"15/03/2025","14/04/2025","Kimwarer","176.96","167.79","152.16"
"15/03/2025","14/04/2025","Timboroa","176.88","167.7","152.08"
"15/03/2025","14/04/2025","Nandi Hills","176.83","167.66","152.03"
"15/03/2025","14/04/2025","Kaiboi","176.68","167.51","151.88"
"15/03/2025","14/04/2025","Kiminini","177.21","168.04","152.41"
"15/03/2025","14/04/2025","Endebes","177.58","168.41","152.78"
"15/03/2025","14/04/2025","Saboti","177.24","168.06","152.44"
"15/03/2025","14/04/2025","Chepareria","177.92","168.74","153.12"
"15/03/2025","14/04/2025","Lomut","179.65","170.48","154.86"
